item_encoded,total_observations,historical_shortage_prob,avg_shortage_qty,max_shortage_qty,total_shortage_qty,shortage_qty_7d_avg,shortage_qty_30d_avg,shortage_freq_7d,shortage_freq_30d,is_shortage
0,744,0.009408602150537635,0.08064516129032258,26.0,60.0,0.0,0.0,0.0,0.0,0
1,744,0.0013440860215053765,0.4206989247311828,313.0,313.0,0.0,0.0,0.0,0.0,0
2,744,0.010752688172043012,0.12768817204301075,44.0,95.0,0.0,0.0,0.0,0.0,0
3,744,0.006720430107526882,0.0456989247311828,10.0,34.0,0.0,0.0,0.0,0.0,0
4,744,0.01881720430107527,0.1196236559139785,56.0,89.0,0.0,0.0,0.0,0.0,0
5,744,0.009408602150537635,0.04435483870967742,17.0,33.0,0.0,0.0,0.0,0.0,0
6,744,0.012096774193548387,0.9650537634408602,102.0,718.0,0.0,0.0,0.0,0.0,0
7,744,0.004032258064516129,0.004032258064516129,1.0,3.0,0.0,0.0,0.0,0.0,0
8,744,0.0456989247311828,0.0456989247311828,1.0,34.0,0.0,0.0,0.0,0.0,0
9,744,0.0013440860215053765,0.010752688172043012,8.0,8.0,0.0,0.0,0.0,0.0,0
10,744,0.0013440860215053765,0.10215053763440861,76.0,76.0,0.0,0.0,0.0,0.0,0
11,744,0.012096774193548387,0.10752688172043011,22.0,80.0,0.0,2.6666666666666665,0.0,0.3,0
12,744,0.005376344086021506,0.23655913978494625,171.0,176.0,0.0,0.0,0.0,0.0,0
13,744,0.06317204301075269,1.2338709677419355,90.0,918.0,0.0,0.0,0.0,0.0,0
14,744,0.021505376344086023,0.6384408602150538,62.0,475.0,0.0,0.0,0.0,0.0,0
15,744,0.009408602150537635,0.07795698924731183,25.0,58.0,0.0,0.0,0.0,0.0,0
16,744,0.0013440860215053765,0.004032258064516129,3.0,3.0,0.0,0.0,0.0,0.0,0
17,744,0.008064516129032258,0.03225806451612903,4.0,24.0,0.0,0.0,0.0,0.0,0
18,744,0.06317204301075269,6.286290322580645,584.0,4677.0,0.0,0.0,0.0,0.0,0
19,744,0.03763440860215054,0.5645161290322581,15.0,420.0,0.0,0.0,0.0,0.0,0
20,744,0.002688172043010753,0.020161290322580645,12.0,15.0,0.0,0.0,0.0,0.0,0
21,744,0.06182795698924731,0.37231182795698925,32.0,277.0,0.0,0.0,0.0,0.0,0
22,744,0.009408602150537635,0.33602150537634407,82.0,250.0,0.0,0.0,0.0,0.0,0
23,744,0.010752688172043012,0.021505376344086023,2.0,16.0,0.0,0.0,0.0,0.0,0
24,744,0.0013440860215053765,0.13440860215053763,100.0,100.0,0.0,0.0,0.0,0.0,0
25,744,0.006720430107526882,0.8870967741935484,164.0,660.0,0.0,0.0,0.0,0.0,0
26,744,0.08064516129032258,2.3655913978494625,154.0,1760.0,0.0,1.0666666666666667,0.0,0.13333333333333333,0
27,744,0.0013440860215053765,1.206989247311828,898.0,898.0,0.0,0.0,0.0,0.0,0
28,744,0.002688172043010753,0.08198924731182795,57.0,61.0,0.0,0.0,0.0,0.0,0
29,744,0.008064516129032258,1.6223118279569892,366.0,1207.0,0.0,0.0,0.0,0.0,0
30,744,0.009408602150537635,0.03494623655913978,6.0,26.0,0.0,0.0,0.0,0.0,0
31,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.0,0.0,0.0,0
32,744,0.0013440860215053765,0.010752688172043012,8.0,8.0,0.0,0.0,0.0,0.0,0
33,744,0.021505376344086023,0.05913978494623656,8.0,44.0,0.0,0.0,0.0,0.0,0
34,744,0.021505376344086023,0.04435483870967742,3.0,33.0,0.0,0.0,0.0,0.0,0
35,744,0.0013440860215053765,0.1196236559139785,89.0,89.0,0.0,0.0,0.0,0.0,0
36,744,0.004032258064516129,0.004032258064516129,1.0,3.0,0.0,0.0,0.0,0.0,0
37,744,0.010752688172043012,0.42876344086021506,176.0,319.0,0.0,0.0,0.0,0.0,0
38,744,0.0228494623655914,0.17069892473118278,18.0,127.0,0.0,0.0,0.0,0.0,0
